city;lat;lng;country;admin;capital;Confirmed;Recovery;Deaths
Abengourou;6.729722;-3.496389;Ivory Coast;Comoe;admin;0;0;0
Abidjan;5.309657;-4.012656;Ivory Coast;Abidjan;admin;1539;742;20
Aboisso;5.467794;-3.207111;Ivory Coast;Comoe;minor;1;0;0
Adiake;5.286337;-3.304025;Ivory Coast;Comoe;minor;4;0;0
Adzope;6.106944;-3.861944;Ivory Coast;Lagunes;minor;;;
Agboville;5.92801;-4.213186;Ivory Coast;Lagunes;minor;;;
Agnibilekrou;7.131132;-3.204147;Ivory Coast;Comoe;minor;;;
Agou;5.982888;-3.943933;Ivory Coast;Lagunes;minor;;;
Akoupe;6.38423;-3.887589;Ivory Coast;Lagunes;minor;;;
Alepe;5.500397;-3.663083;Ivory Coast;Lagunes;minor;;;
Anyama;5.494622;-4.051831;Ivory Coast;Abidjan;minor;;;
Arrah;6.673419;-3.969383;Ivory Coast;Lacs;minor;;;
Attiegouakro;6.77402;-5.114105;Ivory Coast;Yamoussoukro;minor;;;
Ayame;5.605204;-3.157086;Ivory Coast;Comoe;minor;;;
Azaguie;5.629841;-4.082041;Ivory Coast;Lagunes;minor;;;
Bangolo;7.01232;-7.486395;Ivory Coast;Montagnes;admin;;;
Beoumi;7.673951;-5.580855;Ivory Coast;Vallee du Bandama;minor;;;
Bettie;6.075676;-3.408456;Ivory Coast;Comoe;minor;;;
Biankouma;7.739093;-7.613774;Ivory Coast;Montagnes;minor;;;
Bingerville;5.355809;-3.885371;Ivory Coast;Abidjan;minor;;;
Blolequin;6.569129;-8.002533;Ivory Coast;Montagnes;minor;;;
Bocanda;7.062635;-4.499484;Ivory Coast;Lacs;minor;;;
Bondoukou;8.040201;-2.800034;Ivory Coast;Zanzan;admin;;;
Bongouanou;6.651749;-4.204061;Ivory Coast;Lacs;minor;1;0;0
Bonoua;5.27247;-3.596248;Ivory Coast;Comoe;minor;;;
Botro;7.852488;-5.310628;Ivory Coast;Vallee du Bandama;minor;;;
Bouafle;6.990406;-5.744204;Ivory Coast;Sassandra-MarahouǸ;minor;1;0;0
Bouake;7.693846;-5.030307;Ivory Coast;Vallee du Bandama;admin;4;0;0
Bouna;9.269265;-2.995098;Ivory Coast;Zanzan;minor;;;
Boundiali;9.521667;-6.486944;Ivory Coast;Savanes;minor;;;
Buyo;6.275344;-6.997038;Ivory Coast;Bas-Sassandra;minor;1;0;0
Dabakala;8.363209;-4.428628;Ivory Coast;Vallee du Bandama;minor;;;
Dabou;5.325556;-4.376853;Ivory Coast;Lagunes;admin;1;0;0
Daloa;6.877355;-6.450221;Ivory Coast;Sassandra-MarahouǸ;admin;1;0;0
Danane;7.259572;-8.154981;Ivory Coast;Montagnes;minor;;;
Daoukro;7.058552;-3.964625;Ivory Coast;Lacs;minor;;;
Deraouan;6.890867;-6.423196;Ivory Coast;Sassandra-Marahoue;;;;
Dianra;8.943333;-6.254897;Ivory Coast;Woroba;minor;;;
Didievi;7.12866;-4.898041;Ivory Coast;Lacs;minor;;;
Dikodougou;9.067573;-5.772225;Ivory Coast;Savanes;minor;;;
Dimbokro;6.64678;-4.70519;Ivory Coast;Lacs;admin;1;0;0
Divo;5.83739;-5.357229;Ivory Coast;Goh-Djiboua;minor;1;0;0
Djekanou;6.483892;-5.115527;Ivory Coast;Lacs;minor;;;
Doropo;9.810273;-3.344975;Ivory Coast;Zanzan;minor;;;
Duekoue;6.74202;-7.349183;Ivory Coast;Montagnes;minor;1;0;0
Facobly;7.388301;-7.376439;Ivory Coast;Montagnes;minor;;;
Ferkessedougou;9.5928;-5.194487;Ivory Coast;Savanes;minor;;;
Fresco;5.082265;-5.569379;Ivory Coast;Bas-Sassandra;minor;;;
Gagnoa;6.131934;-5.950601;Ivory Coast;Goh-Djiboua;admin;1;0;0
Gbeleban;9.584607;-8.131833;Ivory Coast;Denguele;minor;;;
Grand-Bassam;5.211796;-3.738839;Ivory Coast;Comoe;minor;7;5;0
Grand-Lahou;5.250683;-5.003332;Ivory Coast;Lagunes;minor;;;
Gueyo;5.688203;-6.071199;Ivory Coast;Bas-Sassandra;minor;;;
Guiglo;6.543682;-7.493495;Ivory Coast;Montagnes;minor;;;
