date;countryCode;region;lat;lon;Confirmed;Recovered;Deaths;countryName
22/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
23/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
24/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
25/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
26/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
27/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
28/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
29/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
30/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
31/01/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
01/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
02/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
03/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
04/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
05/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
06/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
07/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
08/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
09/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
10/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
11/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
12/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
13/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
14/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
15/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
16/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
17/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
18/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
19/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
20/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
21/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
22/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
23/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
24/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
25/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
26/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
27/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
28/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
29/02/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
01/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
02/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
03/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
04/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
05/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
06/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
07/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
08/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
09/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
10/03/2020;CI;Africa;8;-5;0;0;0;Ivory Coast
11/03/2020;CI;Africa;8;-5;1;0;0;Ivory Coast
12/03/2020;CI;Africa;8;-5;1;0;0;Ivory Coast
13/03/2020;CI;Africa;8;-5;1;0;0;Ivory Coast
14/03/2020;CI;Africa;8;-5;1;0;0;Ivory Coast
15/03/2020;CI;Africa;8;-5;1;0;0;Ivory Coast
16/03/2020;CI;Africa;8;-5;1;0;0;Ivory Coast
17/03/2020;CI;Africa;8;-5;5;1;0;Ivory Coast
18/03/2020;CI;Africa;8;-5;6;1;0;Ivory Coast
19/03/2020;CI;Africa;8;-5;9;1;0;Ivory Coast
20/03/2020;CI;Africa;8;-5;9;1;0;Ivory Coast
21/03/2020;CI;Africa;8;-5;14;1;0;Ivory Coast
22/03/2020;CI;Africa;8;-5;14;1;0;Ivory Coast
23/03/2020;CI;Africa;8;-5;25;2;0;Ivory Coast
24/03/2020;CI;Africa;8;-5;73;2;0;Ivory Coast
25/03/2020;CI;Africa;8;-5;80;3;0;Ivory Coast
26/03/2020;CI;Africa;8;-5;96;3;0;Ivory Coast
27/03/2020;CI;Africa;8;-5;101;3;0;Ivory Coast
28/03/2020;CI;Africa;8;-5;101;3;0;Ivory Coast
29/03/2020;CI;Africa;8;-5;165;4;1;Ivory Coast
30/03/2020;CI;Africa;8;-5;168;6;1;Ivory Coast
31/03/2020;CI;Africa;8;-5;179;7;1;Ivory Coast
01/04/2020;CI;Africa;8;-5;190;9;1;Ivory Coast
02/04/2020;CI;Africa;8;-5;194;15;1;Ivory Coast
03/04/2020;CI;Africa;8;-5;218;19;1;Ivory Coast
04/04/2020;CI;Africa;8;-5;245;25;1;Ivory Coast
05/04/2020;CI;Africa;8;-5;261;37;3;Ivory Coast
06/04/2020;CI;Africa;8;-5;323;41;3;Ivory Coast
07/04/2020;CI;Africa;8;-5;349;41;3;Ivory Coast
08/04/2020;CI;Africa;8;-5;384;48;3;Ivory Coast
09/04/2020;CI;Africa;8;-5;444;52;3;Ivory Coast
10/04/2020;CI;Africa;8;-5;480;54;3;Ivory Coast
11/04/2020;CI;Africa;8;-5;533;58;4;Ivory Coast
12/04/2020;CI;Africa;8;-5;574;85;5;Ivory Coast
13/04/2020;CI;Africa;8;-5;626;89;6;Ivory Coast
14/04/2020;CI;Africa;8;-5;638;114;6;Ivory Coast
15/04/2020;CI;Africa;8;-5;654;146;6;Ivory Coast
