date;prelev
05/05/2020;11448
06/05/2020;497
07/05/2020;367
08/05/2020;456
09/05/2020;573
10/05/2020;322
11/05/2020;499
12/05/2020;507
13/05/2020;592
14/05/2020;680
15/05/2020;728
16/05/2020;845
17/05/2020;790
18/05/2020;305
19/05/2020;566
20/05/2020;840
21/05/2020;1055
22/05/2020;1164
23/05/2020;727
24/05/2020;484
25/05/2020;873
26/05/2020;782
27/05/2020;425
28/05/2020;497
29/05/2020;527
30/05/2020;357
31/05/2020;134
01/06/2020;611
02/06/2020;470
03/06/2020;402
04/06/2020;706
05/06/2020;628
06/06/2020;756
07/06/2020;937
08/06/2020;800
09/06/2020;515
10/06/2020;612
11/06/2020;796
12/06/2020;907
13/06/2020;756
14/06/2020;848
15/06/2020;870
16/06/2020;984
17/06/2020;1214
18/06/2020;1592
19/06/2020;1632
20/06/2020;1155
21/06/2020;922
22/06/2020;844
