date,confirmes,cas_actifs,gueris,echantillons,cas_sain_echan
2020-03-11,1,1,0,796,0
2020-03-14,3,4,0,796,0
2020-03-16,2,5,1,796,0
2020-03-18,3,8,0,796,0
2020-03-20,5,13,0,796,0
2020-03-21,3,16,0,796,0
2020-03-22,8,23,1,796,0
2020-03-24,48,70,1,796,0
2020-03-25,7,77,0,796,0
2020-03-26,16,93,0,796,0
2020-03-27,5,98,0,796,0
2020-03-28,39,137,0,796,0
2020-03-29,25,160,1,796,0
2020-03-30,3,161,2,796,0
2020-03-31,11,171,1,796,0
2020-04-01,11,180,2,796,0
2020-04-02,4,178,6,81,77
2020-04-03,24,198,4,226,202
2020-04-04,27,219,6,796,0
2020-04-05,16,221,12,796,0
2020-04-06,62,279,4,796,0
2020-04-07,26,305,0,796,0
2020-04-08,35,333,7,125,90
2020-04-09,60,389,4,247,187
2020-04-10,36,423,2,192,156
2020-04-11,53,471,4,796,0
2020-04-12,41,484,27,796,0
2020-04-13,52,531,4,796,0
2020-04-14,12,518,25,129,117
2020-03-15,16,502,32,238,222
2020-03-16,34,489,47,298,264
2020-04-17,54,516,27,296,242
2020-04-18,59,554,19,361,302
2020-04-19,46,578,21,399,353
2020-04-20,32,582,27,351,319
2020-04-21,37,600,16,270,233
2020-04-22,36,628,7,342,306
2020-04-23,52,631,49,504,452
2020-04-24,73,644,60,584,511
2020-04-25,34,648,30,302,268
2020-04-26,39,668,19,560,521
2020-04-27,14,651,31,289,275
2020-04-28,19,644,26,179,160
2020-04-29,55,667,32,512,457
2020-04-30,37,687,17,385,348
2020-05-01,58,721,23,416,358
2020-05-02,29,725,25,435,406
2020-05-03,36,728,31,288,252
2020-05-04,34,722,40,482,448
2020-05-05,32,745,8,170,138
2020-05-06,52,777,20,497,445
2020-05-07,55,809,21,367,312
2020-05-08,31,828,12,456,425
2020-05-09,65,877,15,573,508
2020-05-10,33,885,25,322,289
2020-05-11,30,891,24,499,469
2020-05-12,127,1016,2,506,379
2020-05-13,55,986,82,592,537
2020-05-14,59,1017,28,680,621
2020-05-15,46,1051,12,728,682
2020-05-16,44,1049,45,845,801
2020-05-17,48,1078,17,790,742
2020-05-18,10,1051,36,305,295
2020-05-19,34,1075,10,566,532
2020-05-20,78,1119,33,840,762
2020-05-21,70,1172,17,1055,985
2020-05-22,40,1166,46,1164,1124
2020-05-23,25,1148,42,727,702
2020-05-24,10,1127,31,484,474
2020-05-25,47,1136,38,873,826
2020-05-26,54,1161,29,782,728
2020-05-27,79,1223,16,425,346
2020-05-28,85,1283,24,497,412
2020-05-29,109,1348,44,527,418
2020-05-30,49,1381,15,357,308
2020-05-31,34,1365,50,134,100
2020-06-01,118,1451,32,611,493
2020-06-02,73,1490,34,470,397
2020-06-03,86,1545,29,402,316
2020-06-04,152,1643,54,706,554
2020-06-05,169,1791,20,628,459
2020-06-06,126,1771,146,756,630
2020-06-07,182,1885,68,937,755
2020-06-08,142,1974,51,800,658
2020-06-09,114,1912,176,515,401
2020-06-10,186,1966,129,612,426
2020-06-11,223,2151,38,796,573
2020-06-12,280,2376,51,907,627
2020-06-13,164,2406,134,756,592
2020-06-14,236,2534,108,848,612
2020-06-15,355,2803,85,870,515
2020-06-16,240,2996,47,984,744
2020-06-17,384,3266,112,1214,830
2020-06-18,381,3532,114,1592,1211
2020-06-19,430,3883,79,1632,1202
2020-06-20,402,4232,50,1155,753
2020-06-21,216,4370,76,922,706
2020-06-22,185,4493,60,844,659
2020-06-23,227,4664,54,1303,1076
2020-06-24,260,4687,237,1041,781
2020-06-25,170,4787,68,1012,842
2020-06-26,405,5088,100,1562,1157
2020-06-27,205,5156,135,1347,1142
2020-06-28,157,5227,86,624,467
2020-06-29,113,5152,188,1053,940
2020-06-30,285,5158,277,2012,1727
2020-07-01,203,5253,108,1824,1621
2020-07-02,290,5264,279,1608,1318
2020-07-03,252,5448,66,1270,1018
2020-07-04,218,5583,81,1553,1335
2020-07-05,310,5631,260,2219,1909
2020-07-06,194,5507,317,1404,1210
2020-07-07,228,5631,103,1280,1052
2020-07-08,310,5855,84,1841,1531
2020-07-09,246,5919,181,1405,1159
2020-07-10,302,5891,328,2185,1883
2020-07-11,391,6004,277,2281,1890
2020-07-12,323,6028,297,1370,1047
2020-07-13,106,5978,156,1134,1028
2020-07-14,165,6042,98,682,517
2020-07-15,366,6170,238,1829,1463
2020-07-16,151,6104,217,738,587
2020-07-17,142,6002,244,806,664
2020-07-18,216,5821,393,1237,1021
2020-07-19,207,5661,366,1137,930
2020-07-20,193,5561,293,1656,1463
2020-07-21,219,5581,198,1143,924
2020-07-22,202,5645,138,1131,929
2020-07-23,268,5626,287,2237,1969
2020-07-24,252,5660,217,1735,1483
2020-07-25,241,5520,381,2004,1763
2020-07-26,102,5322,298,1447,1345
2020-07-27,59,5198,183,991,932
2020-07-28,58,5078,176,671,613
2020-07-29,100,4921,256,1246,1146
2020-07-30,165,4718,367,1720,1555
2020-07-31,69,4517,268,951,882
2020-08-01,62,4257,322,898,836
2020-08-02,73,4279,51,1102,1029
2020-08-03,38,4231,86,427,389
2020-08-04,73,4235,68,512,439
2020-08-05,56,4055,236,760,704
2020-08-06,98,3860,293,1200,1102
2020-08-07,77,3777,159,924,847
2020-08-08,96,3782,91,1245,1149
2020-08-09,95,3843,33,1109,1014
2020-08-10,83,3800,126,815,732
2020-08-11,49,3580,269,682,633
2020-08-12,16,3486,108,252,236
2020-08-13,26,3416,96,521,495
2020-08-14,46,3265,196,929,883
2020-08-15,63,3290,38,870,807
2020-08-16,33,3133,188,457,424
2020-08-18,76,3166,43,1032,956
2020-08-18,49,3022,193,918,869
2020-08-19,82,2864,239,1447,1365
2020-08-20,17,2691,189,330,313
2020-08-21,61,2543,209,950,889
2020-08-22,64,2320,286,1101,1037
2020-08-23,97,2222,195,1133,1036
2020-08-24,35,1924,332,987,952
2020-08-25,56,1705,275,793,737
2020-08-26,41,1713,33,896,855
2020-08-27,99,1613,198,1082,983
2020-08-28,95,1532,176,1028,933
2020-08-29,96,1503,125,887,791
2020-08-30,55,1445,113,580,525
2020-08-31,119,1416,146,1252,1133
2020-09-01,36,1337,115,383,347
2020-09-02,58,1276,119,938,880
2020-09-03,47,1209,112,921,874
2020-09-04,61,1153,117,1104,1043
2020-09-05,203,1195,161,1713,1510
2020-09-06,116,1162,149,1163,1047
2020-09-07,113,1148,127,759,646
2020-09-08,77,1136,89,492,415
2020-09-09,37,1091,82,1164,1127
2020-09-10,54,1031,114,1480,1426
2020-09-11,47,1002,76,1785,1738
2020-09-12,71,987,85,1756,1685
2020-09-13,26,946,67,786,760
2020-09-14,53,937,62,1413,1360
2020-09-15,34,917,54,1098,1064
2020-09-16,32,888,61,1553,1521
2020-09-17,26,873,41,1253,1227
2020-09-18,42,853,62,1392,1350
2020-09-19,69,854,68,1689,1620
2020-09-20,51,831,74,1881,1830
2020-09-21,7,742,96,155,148
2020-09-22,16,706,52,546,530
2020-09-23,87,600,193,1742,1655
